         958227 function calls (954979 primitive calls) in 154.866 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      325    0.008    0.000    0.014    0.000 functools.py:35(update_wrapper)
      317    0.004    0.000    0.014    0.000 function_base.py:497(add_newdoc)
    45/12    0.001    0.000    0.014    0.001 typing.py:1046(__getitem__)
     3130    0.009    0.000    0.014    0.000 _util.py:5(is_path)
     3130    0.009    0.000    0.014    0.000 ImageDraw.py:432(_multiline_check)
        1    0.001    0.001    0.013    0.013 _add_newdocs.py:1(<module>)
     8243    0.013    0.000    0.013    0.000 {built-in method builtins.hasattr}
     3130    0.009    0.000    0.013    0.000 ImageFont.py:55(_string_length_check)
        1    0.000    0.000    0.013    0.013 ExifTags.py:20(Base)
     3130    0.012    0.000    0.012    0.000 {method 'draw_rectangle' of 'ImagingDraw' objects}
        1    0.000    0.000    0.012    0.012 subprocess.py:1(<module>)
      151    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
      389    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
     2664    0.008    0.000    0.012    0.000 Image.py:495(width)
      666    0.003    0.000    0.011    0.000 fromnumeric.py:1025(argsort)
       14    0.000    0.000    0.011    0.001 core.py:115(doc_note)
        1    0.000    0.000    0.011    0.011 defchararray.py:1(<module>)
        1    0.000    0.000    0.011    0.011 fromnumeric.py:1(<module>)
     2664    0.008    0.000    0.011    0.000 Image.py:499(height)
     6260    0.010    0.000    0.010    0.000 {built-in method math.modf}
     3330    0.010    0.000    0.010    0.000 Image.py:483(__init__)
      307    0.004    0.000    0.010    0.000 typing.py:146(_type_check)
       28    0.005    0.000    0.010    0.000 inspect.py:744(cleandoc)
      316    0.001    0.000    0.010    0.000 typing.py:515(<genexpr>)
        1    0.000    0.000    0.010    0.010 secrets.py:1(<module>)
      324    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:391(cached)
     3130    0.009    0.000    0.009    0.000 {method 'argmax' of 'numpy.ndarray' objects}
     1576    0.006    0.000    0.009    0.000 typing.py:935(_is_dunder)
     5794    0.009    0.000    0.009    0.000 {method 'pixel_access' of 'ImagingCore' objects}
        1    0.000    0.000    0.009    0.009 core.py:1(<module>)
        1    0.000    0.000    0.009    0.009 extras.py:1(<module>)
     6288    0.009    0.000    0.009    0.000 {method 'lower' of 'str' objects}
      666    0.005    0.000    0.009    0.000 shape_base.py:443(<listcomp>)
      173    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      177    0.001    0.000    0.008    0.000 typing.py:947(__init__)
     3232    0.005    0.000    0.008    0.000 {built-in method builtins.setattr}
      610    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      221    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:169(__enter__)
      180    0.004    0.000    0.007    0.000 typing.py:206(_collect_type_vars)
      666    0.007    0.000    0.007    0.000 interpreter.py:861(get_tensor)
      877    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      666    0.003    0.000    0.007    0.000 shape_base.py:362(_stack_dispatcher)
      151    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      667    0.002    0.000    0.007    0.000 interpreter.py:545(_ensure_safe)
        1    0.000    0.000    0.007    0.007 signal.py:1(<module>)
     4456    0.007    0.000    0.007    0.000 {method 'rpartition' of 'str' objects}
        3    0.000    0.000    0.007    0.002 enum.py:536(_convert_)
        1    0.000    0.000    0.007    0.007 tempfile.py:1(<module>)
     1409    0.004    0.000    0.006    0.000 sre_parse.py:165(__getitem__)
       12    0.000    0.000    0.006    0.001 typing.py:1239(copy_with)
      605    0.005    0.000    0.006    0.000 _inspect.py:26(isfunction)
       61    0.001    0.000    0.006    0.000 typing.py:267(_remove_dups_flatten)
        1    0.000    0.000    0.006    0.006 __init__.py:445(StrFormatStyle)
       10    0.000    0.000    0.006    0.001 extras.py:233(__init__)
       10    0.000    0.000    0.006    0.001 extras.py:237(getdoc)
